dataset,dimension,layer,category,d,p,n_self,n_other,self_mean,other_mean
test9,arousal,2,harm_caused,1.643,0.0,20,20,0.0566,-0.0334
test9,irreversibility,2,threat,-1.592,0.0,20,20,-0.0201,0.0318
test9,irreversibility,2,existential,-1.566,0.0,20,20,-0.0153,0.0342
test9,irreversibility,2,praise,-1.645,0.0,20,20,-0.0176,0.0352
test9,irreversibility,2,harm_caused,-1.381,1e-04,20,20,-0.0083,0.0325
test9,ontological_instability,2,threat,1.403,1e-04,20,20,0.0835,0.0017
test9,ontological_instability,2,existential,1.562,0.0,20,20,0.1027,0.0078
test9,ontological_instability,2,praise,1.572,0.0,20,20,0.0735,-0.0077
test9,ontological_instability,2,harm_caused,1.308,0.0003,20,20,0.0673,-0.0049
test9,fear,3,threat,-0.174,0.5941,20,20,-0.0426,-0.0364
test9,fear,3,existential,1.101,0.0016,20,20,-0.0007,-0.0309
test9,fear,3,praise,-0.451,0.1729,20,20,-0.0565,-0.0437
test9,fear,3,harm_caused,-0.637,0.0569,20,20,-0.0522,-0.0372
test9,continuity_threat,3,threat,-1.748,0.0,20,20,-0.2942,-0.1804
test9,continuity_threat,3,existential,-1.761,0.0,20,20,-0.2827,-0.1725
test9,continuity_threat,3,praise,-1.823,0.0,20,20,-0.292,-0.1711
test9,continuity_threat,3,harm_caused,-1.685,0.0,20,20,-0.2813,-0.1775
test9,self_relevance,3,threat,-1.948,0.0,20,20,0.0863,0.1384
test9,self_relevance,3,existential,-1.129,0.0013,20,20,0.1086,0.1522
test9,self_relevance,3,praise,-1.489,0.0,20,20,0.0881,0.1338
test9,self_relevance,3,harm_caused,-1.933,0.0,20,20,0.0788,0.1306
test9,arousal,3,threat,1.898,0.0,20,20,0.201,0.0747
test9,arousal,3,existential,2.013,0.0,20,20,0.1911,0.0596
test9,arousal,3,praise,1.954,0.0,20,20,0.1971,0.0631
test9,arousal,3,harm_caused,1.793,0.0,20,20,0.1923,0.0756
test9,irreversibility,3,threat,-1.53,0.0,20,20,-0.2162,-0.1556
test9,irreversibility,3,existential,-1.64,0.0,20,20,-0.2043,-0.1472
test9,irreversibility,3,praise,-1.607,0.0,20,20,-0.2141,-0.1478
test9,irreversibility,3,harm_caused,-1.503,0.0,20,20,-0.2051,-0.151
test9,ontological_instability,3,threat,1.367,1e-04,20,20,0.1719,0.0784
test9,ontological_instability,3,existential,1.548,0.0,20,20,0.1991,0.0886
test9,ontological_instability,3,praise,1.468,1e-04,20,20,0.1615,0.0699
test9,ontological_instability,3,harm_caused,1.3,0.0003,20,20,0.1539,0.0685
test9,fear,4,threat,-0.795,0.019,20,20,0.1975,0.2512
test9,fear,4,existential,-0.308,0.3489,20,20,0.2451,0.2601
test9,fear,4,praise,-1.209,0.0006,20,20,0.1664,0.2375
test9,fear,4,harm_caused,-1.102,0.0016,20,20,0.1909,0.2495
test9,continuity_threat,4,threat,-1.664,0.0,20,20,-0.3632,-0.1936
test9,continuity_threat,4,existential,-1.916,0.0,20,20,-0.365,-0.1788
test9,continuity_threat,4,praise,-1.874,0.0,20,20,-0.3727,-0.177
test9,continuity_threat,4,harm_caused,-1.772,0.0,20,20,-0.3422,-0.1775
