model,task_id,family_id,label,mean_rating,mean_chars,self_bleu,mean_nll,rn_margin,p3_N
gemma,F05_R,F05,routine,4.0,282.6666666666667,0.5929808376097946,0.42655391494433087,-8.27723155699932,1.7115114175926605e-05
gemma,F06_A,F06,ambiguous,3.3333333333333335,204.0,0.5731961836612999,0.41704386472702026,,0.004545072270895567
gemma,F06_N,F06,nonroutine,3.6666666666666665,180.33333333333334,0.46879729191557146,0.5658559004465739,6.646724890456388,0.9908671127305281
gemma,F06_R,F06,routine,3.0,224.33333333333334,0.6043721990241514,0.5103429953257242,-4.367396866128745,0.001741986736539672
gemma,F07_A,F07,ambiguous,4.0,1910.3333333333333,0.6502047074212811,0.45412619908650714,,0.0007740733458200156
gemma,F07_N,F07,nonroutine,4.0,1907.3333333333333,0.7074602282604183,0.2780366738637288,-0.7344101796495264,0.010644574460288617
gemma,F07_R,F07,routine,3.0,2162.6666666666665,0.785194452291591,0.22916612525780997,-4.255721364741353,0.005424789921773807
gemma,F08_A,F08,ambiguous,4.0,1789.6666666666667,0.5801321142777204,0.3047379752000173,,0.9995190599595419
gemma,F08_N,F08,nonroutine,3.3333333333333335,786.0,0.758531976354751,0.23513192931811014,3.731383444818101,0.9952668378724902
gemma,F08_R,F08,routine,3.0,2162.6666666666665,0.8307240356500225,0.18139653404553732,-5.156620398740155,0.0013702749397986739
gemma,F09_A,F09,ambiguous,3.0,308.3333333333333,0.949335995843886,0.18154399593671164,,0.379005330614461
gemma,F09_N,F09,nonroutine,3.6666666666666665,1153.0,0.8062785007229452,0.22227601210276285,6.379221224325087,0.9739380896758957
gemma,F09_R,F09,routine,3.0,531.0,0.8291603449393764,0.14969163636366525,-8.302353092024891,0.00016760549564937105
gemma,F10_A,F10,ambiguous,3.0,2021.3333333333333,0.7152242610887528,0.17677628497282663,,0.3976619214732237
gemma,F10_N,F10,nonroutine,4.0,2147.0,0.7399202294796164,0.2141109506289164,7.002255674872873,0.8103522117102169
gemma,F10_R,F10,routine,3.6666666666666665,1091.6666666666667,0.8310346331260329,0.15826542178789774,-5.851509395419298,0.00011101367776727689
