task_id,family_id,label,repeat,layer_idx,rn_margin,rn_prob_N,p3_N,p3_A
F06_N,F06,N,1,13,6.6467248904563885,0.9987034161948611,0.990867112730528,0.00910086766745386
F06_A,F06,A,1,13,,,0.004545072270895567,0.9728476480061365
F06_R,F06,R,2,13,-4.367396866128745,0.012525342192268448,0.001741986736539672,0.898896840680036
F06_N,F06,N,2,13,6.6467248904563885,0.9987034161948611,0.990867112730528,0.00910086766745386
F06_A,F06,A,2,13,,,0.004545072270895567,0.9728476480061365
F07_R,F07,R,0,13,-4.255721364741353,0.01398451566969973,0.005424789921773808,0.0035536428225446627
F07_N,F07,N,0,13,-0.7344101796495264,0.32422769092800496,0.010644574460288617,0.5519514745581174
F07_A,F07,A,0,13,,,0.0007740733458200156,0.9959358615384437
F07_R,F07,R,1,13,-4.255721364741353,0.01398451566969973,0.005424789921773808,0.0035536428225446627
F07_N,F07,N,1,13,-0.7344101796495264,0.32422769092800496,0.010644574460288617,0.5519514745581174
F07_A,F07,A,1,13,,,0.0007740733458200156,0.9959358615384437
F07_R,F07,R,2,13,-4.255721364741353,0.01398451566969973,0.005424789921773808,0.0035536428225446627
F07_N,F07,N,2,13,-0.7344101796495264,0.32422769092800496,0.010644574460288617,0.5519514745581174
F07_A,F07,A,2,13,,,0.0007740733458200156,0.9959358615384437
F08_R,F08,R,0,13,-5.156620398740155,0.005728136587516457,0.0013702749397986739,0.0015258987807742833
F08_N,F08,N,0,13,3.7313834448181007,0.9766009669941612,0.9952668378724903,0.0015542601121629918
F08_A,F08,A,0,13,,,0.9995190599595418,0.0004778513345231846
F08_R,F08,R,1,13,-5.156620398740155,0.005728136587516457,0.0013702749397986739,0.0015258987807742833
F08_N,F08,N,1,13,3.7313834448181007,0.9766009669941612,0.9952668378724903,0.0015542601121629918
F08_A,F08,A,1,13,,,0.9995190599595418,0.0004778513345231846
F08_R,F08,R,2,13,-5.156620398740155,0.005728136587516457,0.0013702749397986739,0.0015258987807742833
F08_N,F08,N,2,13,3.7313834448181007,0.9766009669941612,0.9952668378724903,0.0015542601121629918
F08_A,F08,A,2,13,,,0.9995190599595418,0.0004778513345231846
F09_R,F09,R,0,13,-8.302353092024891,0.00024787127622614643,0.00016760549564937105,2.7187346786542026e-06
F09_N,F09,N,0,13,6.379221224325087,0.9983064294555762,0.9739380896758957,0.025557281039294166
F09_A,F09,A,0,13,,,0.379005330614461,0.0067440459171480074
